Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Grass,(5)Daniil Medvedev [RUS] d. (1)Sinner,L,1.14,11.3%,2.7%,64.7%,80.4%,52.8%,1.14,50.6%,33.3%,8.6%,23.5%,54.5%
Grass,(1)Sinner d. (14)Ben Shelton [USA],W,1.51,7.8%,0.0%,70.0%,76.2%,70.4%,1.51,55.9%,38.5%,15.6%,30.4%,59.3%
Grass,(1)Sinner d. Miomir Kecmanovic [SRB],W,1.94,15.9%,2.9%,60.9%,85.7%,66.7%,1.94,60.0%,42.3%,2.8%,26.7%,69.2%
Grass,(1)Sinner d. Matteo Berrettini [ITA],W,1.29,7.4%,1.5%,65.2%,81.8%,53.2%,1.29,52.5%,36.4%,17.3%,29.3%,54.3%
Grass,(1)Sinner d. Yannick Hanfmann [GER],W,1.16,12.7%,2.4%,57.9%,79.5%,49.1%,1.16,53.3%,38.6%,10.5%,32.1%,52.8%
Grass,(1)Sinner d. (5)Hubert Hurkacz [POL],W,2.06,13.9%,1.4%,65.3%,93.6%,68.0%,2.06,55.3%,31.5%,14.6%,21.2%,60.9%
Grass,(1)Sinner d. Zhizhen Zhang [CHN],W,1.38,12.1%,1.5%,65.2%,81.4%,60.9%,1.38,54.0%,35.6%,12.3%,20.4%,66.7%
Grass,(1)Sinner d. Jan Lennard Struff [GER],W,1.33,14.4%,3.1%,66.0%,85.9%,51.5%,1.33,51.8%,34.4%,14.4%,27.5%,46.7%
Grass,(1)Sinner d. Fabian Marozsan [HUN],W,1.19,12.9%,2.2%,64.5%,75.0%,51.5%,1.19,52.3%,39.6%,8.5%,34.3%,48.7%
Grass,(1)Sinner d. Tallon Griekspoor [NED],W,1.41,16.1%,2.2%,66.7%,79.0%,64.5%,1.41,54.4%,36.3%,10.8%,32.8%,42.1%
Clay,(3)Carlos Alcaraz [ESP] d. (2)Sinner,L,,,,,,,,,,,,
Clay,(2)Sinner d. (10)Grigor Dimitrov [BUL],W,,,,,,,,,,,,
Clay,(2)Sinner d. Corentin Moutet [FRA],W,,,,,,,,,,,,
Clay,(2)Sinner d. Pavel Kotov [RUS],W,,,,,,,,,,,,
Clay,(2)Sinner d. (WC)Richard Gasquet [FRA],W,,,,,,,,,,,,
Clay,(2)Sinner d. Christopher Eubanks [USA],W,,,,,,,,,,,,
Clay,Felix Auger Aliassime [CAN] d. (1)Sinner,L,,,,,,,,,,,,
Clay,(1)Sinner d. (16)Karen Khachanov [RUS],W,1.18,5.9%,3.5%,69.4%,79.7%,53.8%,1.18,52.7%,33.3%,9.5%,32.8%,34.6%
Clay,(1)Sinner d. Pavel Kotov [RUS],W,1.33,5.3%,0.0%,66.7%,71.1%,47.4%,1.33,55.9%,49.2%,0.0%,47.1%,51.9%
Clay,(1)Sinner d. Lorenzo Sonego [ITA],W,2.44,4.8%,0.0%,69.0%,86.2%,61.5%,2.44,65.1%,52.3%,2.3%,46.2%,61.1%
Clay,(12)Stefanos Tsitsipas [GRE] d. (2)Sinner,L,0.89,1.0%,2.0%,57.8%,74.6%,46.5%,0.89,49.5%,33.3%,8.3%,30.0%,38.2%
Clay,(2)Sinner d. (7)Holger Rune [DEN],W,1.60,5.6%,2.2%,58.9%,86.8%,67.6%,1.60,55.7%,33.7%,6.3%,18.0%,51.1%
Clay,(2)Sinner d. Jan Lennard Struff [GER],W,1.99,6.5%,0.0%,56.5%,84.6%,65.0%,1.99,59.6%,47.6%,6.3%,39.3%,54.3%
Clay,(2)Sinner d. Sebastian Korda [USA],W,2.08,4.7%,2.3%,48.8%,95.2%,54.5%,2.08,61.9%,53.2%,3.2%,50.0%,56.7%
Hard,(2)Sinner d. (11)Grigor Dimitrov [BUL],W,1.89,9.3%,2.3%,55.8%,87.5%,63.2%,1.89,59.1%,44.0%,12.0%,40.6%,50.0%
Hard,(2)Sinner d. (3)Daniil Medvedev [RUS],W,1.88,14.9%,2.1%,63.8%,80.0%,58.8%,1.88,61.9%,52.0%,6.0%,46.9%,61.1%
Hard,(2)Sinner d. Tomas Machac [CZE],W,1.69,6.0%,4.0%,60.0%,76.7%,65.0%,1.69,57.4%,47.2%,2.8%,36.8%,58.8%
Hard,(2)Sinner d. Christopher Oconnell [AUS],W,1.74,3.7%,3.7%,61.1%,75.8%,71.4%,1.74,57.6%,45.1%,7.0%,35.0%,58.1%
Hard,(2)Sinner d. (25)Tallon Griekspoor [NED],W,2.27,20.0%,1.3%,68.0%,90.2%,66.7%,2.27,56.7%,39.3%,9.8%,33.8%,53.1%
Hard,(2)Sinner d. (Q)Andrea Vavassori [ITA],W,1.53,5.8%,5.8%,69.2%,91.7%,43.8%,1.53,56.3%,35.3%,13.7%,33.3%,38.9%
Hard,(2)Carlos Alcaraz [ESP] d. (3)Sinner,L,0.92,1.4%,2.7%,62.2%,65.2%,53.6%,0.92,48.6%,36.1%,0.0%,29.8%,48.0%
Hard,(3)Sinner d. (32)Jiri Lehecka [CZE],W,1.74,5.9%,3.9%,52.9%,85.2%,62.5%,1.74,57.0%,44.3%,7.1%,31.9%,69.6%
Hard,(3)Sinner d. (16)Ben Shelton [USA],W,1.70,4.6%,1.5%,67.7%,77.3%,61.9%,1.70,59.3%,47.1%,5.7%,42.6%,56.5%
Hard,(3)Sinner d. (25)Jan Lennard Struff [GER],W,1.88,13.5%,3.8%,67.3%,82.9%,76.5%,1.88,57.3%,36.2%,5.2%,27.5%,55.6%
Hard,(3)Sinner d. Thanasi Kokkinakis [AUS],W,2.14,6.4%,0.0%,61.7%,75.9%,72.2%,2.14,64.8%,54.5%,15.9%,42.3%,72.2%
Hard,(1)Sinner d. (5)Alex De Minaur [AUS],W,1.03,4.9%,1.2%,55.6%,77.8%,38.9%,1.03,51.0%,40.5%,13.5%,37.0%,46.4%
Hard,(1)Sinner d. Tallon Griekspoor [NED],W,1.36,12.3%,1.8%,64.9%,81.1%,55.0%,1.36,56.7%,38.3%,6.4%,27.6%,55.6%
Hard,(1)Sinner d. (PR)Milos Raonic [CAN],W,0.89,6.7%,0.0%,71.1%,81.3%,53.8%,0.89,50.6%,23.7%,28.9%,20.7%,33.3%
Hard,(1)Sinner d. (WC)Gael Monfils [FRA],W,1.45,4.2%,2.8%,68.1%,75.5%,73.9%,1.45,54.6%,36.3%,7.5%,29.8%,45.5%
Hard,(1)Sinner d. Botic Van De Zandschulp [NED],W,2.05,8.5%,4.3%,68.1%,87.5%,60.0%,2.05,57.6%,43.7%,7.0%,30.4%,68.0%
Hard,(4)Sinner d. (3)Daniil Medvedev [RUS],W,0.99,9.7%,3.5%,61.1%,73.9%,53.6%,0.99,50.2%,33.8%,7.9%,24.2%,54.5%
Hard,(4)Sinner d. (1)Novak Djokovic [SRB],W,1.56,8.2%,0.9%,58.2%,82.8%,63.0%,1.56,56.6%,39.7%,6.0%,32.9%,54.1%
Hard,(4)Sinner d. (5)Andrey Rublev [RUS],W,1.10,8.5%,2.6%,64.1%,76.0%,52.4%,1.10,52.8%,35.6%,9.9%,23.9%,63.3%
Hard,(4)Sinner d. (15)Karen Khachanov [RUS],W,1.31,8.2%,3.1%,53.6%,78.8%,57.8%,1.31,55.3%,40.7%,7.7%,34.4%,53.3%
Hard,(4)Sinner d. (26)Sebastian Baez [ARG],W,1.72,8.6%,0.0%,64.3%,77.8%,52.0%,1.72,61.1%,54.1%,2.7%,46.3%,75.0%
Hard,(4)Sinner d. (Q)Jesper De Jong [NED],W,2.83,12.1%,1.7%,63.8%,86.5%,76.2%,2.83,63.0%,48.8%,7.5%,42.0%,60.0%
Hard,(4)Sinner d. Botic Van De Zandschulp [NED],W,1.33,8.0%,2.3%,58.0%,68.6%,64.9%,1.33,54.4%,43.9%,7.5%,34.8%,60.5%
Hard,Sinner d. Alex De Minaur [AUS],W,1.58,10.4%,2.1%,70.8%,73.5%,50.0%,1.58,59.0%,52.6%,3.5%,45.5%,62.5%
Hard,Sinner d. Novak Djokovic [SRB],W,0.82,11.4%,4.8%,63.8%,71.6%,44.7%,0.82,48.9%,31.2%,7.8%,23.9%,41.9%
Hard,Sinner d. Tallon Griekspoor [NED],W,3.19,18.0%,2.0%,64.0%,90.6%,83.3%,3.19,60.9%,38.3%,11.7%,38.1%,38.9%
Hard,(1)Novak Djokovic [SRB] d. (4)Sinner,L,0.38,10.8%,1.4%,66.2%,57.1%,48.0%,0.38,40.0%,17.4%,28.3%,9.4%,35.7%
Hard,(4)Sinner d. (3)Daniil Medvedev [RUS],W,1.15,9.6%,1.9%,57.7%,83.3%,47.7%,1.15,53.6%,36.4%,11.4%,20.0%,63.6%
Hard,(4)Sinner d. (1)Novak Djokovic [SRB],W,0.89,12.7%,1.7%,60.2%,78.9%,55.3%,0.89,50.0%,27.0%,20.0%,19.0%,40.5%
Hard,(4)Sinner d. Stefanos Tsitsipas [GRE],W,1.76,17.6%,3.9%,70.6%,88.9%,60.0%,1.76,55.4%,34.4%,9.8%,29.7%,41.7%
Hard,(4)Sinner d. (8)Holger Rune [DEN],W,1.51,13.1%,0.0%,58.3%,83.7%,60.0%,1.51,54.4%,39.4%,13.8%,28.6%,59.0%
Hard,(13)Alex De Minaur [AUS] d. (4)Sinner,L,,,,,,,,,,,,
Hard,(4)Sinner d. Mackenzie Mcdonald [USA],W,1.65,4.8%,2.4%,57.8%,85.4%,65.7%,1.65,56.6%,37.8%,8.9%,36.7%,40.0%
Hard,(2)Sinner d. (1)Daniil Medvedev [RUS],W,1.08,4.2%,0.0%,72.9%,64.0%,50.0%,1.08,51.2%,43.2%,9.8%,35.2%,59.1%
Hard,(2)Sinner d. (3)Andrey Rublev [RUS],W,1.31,13.7%,5.5%,61.6%,82.2%,53.6%,1.31,54.0%,37.7%,5.2%,29.1%,59.1%
Hard,(2)Sinner d. (7)Frances Tiafoe [USA],W,1.96,9.1%,1.8%,69.1%,84.2%,70.6%,1.96,59.5%,39.3%,10.7%,35.5%,44.0%
