H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Daniil Medvedev [RUS],5,7,41.7%,8,5,3,62.5%,17‑Feb‑2020,1‑Jul‑2024,12,0.93,7.0%,1.5%,62.1%,71.7%,50.5%,63.6%,34.0%,58.8%,36.1%
10,Carlos Alcaraz [ESP],4,6,40.0%,8,3,5,37.5%,1‑Apr‑2019,27‑May‑2024,9,1.01,4.1%,3.9%,57.7%,67.8%,52.0%,61.1%,39.4%,68.4%,49.3%
9,Stefanos Tsitsipas [GRE],3,6,33.3%,2,0,2,0.0%,13‑May‑2019,8‑Apr‑2024,9,1.06,5.2%,2.2%,63.4%,72.6%,52.5%,65.2%,36.8%,56.4%,29.9%
7,Alex De Minaur [AUS],7,0,100.0%,2,1,1,50.0%,5‑Nov‑2019,12‑Feb‑2024,7,1.35,6.2%,2.7%,60.7%,75.4%,52.6%,66.5%,45.3%,79.5%,51.7%
7,Novak Djokovic [SRB],3,4,42.9%,4,1,3,25.0%,12‑Apr‑2021,15‑Jan‑2024,7,0.87,8.7%,3.1%,60.1%,70.4%,53.0%,63.5%,31.8%,64.8%,41.0%
7,Andrey Rublev [RUS],5,2,71.4%,3,3,0,100.0%,26‑Oct‑2020,15‑Jan‑2024,7,1.18,9.4%,3.0%,59.7%,74.2%,54.3%,66.2%,40.0%,69.7%,52.6%
7,Emil Ruusuvuori [FIN],5,2,71.4%,1,1,0,100.0%,6‑Jan‑2020,12‑Jun‑2023,7,1.05,6.4%,2.7%,59.0%,74.0%,49.7%,64.1%,37.8%,64.3%,61.3%
6,Gael Monfils [FRA],5,1,83.3%,2,1,1,50.0%,14‑Oct‑2019,12‑Feb‑2024,6,1.20,4.2%,2.6%,55.2%,76.6%,57.7%,68.1%,38.2%,65.5%,45.0%
6,Stan Wawrinka [SUI],4,2,66.7%,1,0,1,0.0%,26‑Aug‑2019,28‑Aug‑2023,6,1.11,6.3%,2.5%,58.7%,69.4%,55.0%,63.4%,40.7%,68.0%,36.4%
5,Hubert Hurkacz [POL],3,2,60.0%,4,3,1,75.0%,22‑Mar‑2021,17‑Jun‑2024,5,1.11,6.3%,2.7%,61.7%,74.0%,51.8%,65.5%,38.2%,72.7%,45.8%
